$animal + $animal hybrid|hybrids
she+ $animal|*animal
$person|*person
aardvark|aardvarks
alpaca|alpacas
amoeba|amoebas
animal|animals
ant|ants
antelope|antelopes
armadillo|armadilloes
ape|apes
baboon|baboons
badger|badgers
bat|bats
bear|bears
beast|beasts
beaver|beavers
bee|bees
bird|birds
bison
booby|boobies
buffalo|buffalo
butterfly|butterflies
capybara|capybaras
cat|cats
caterpillar|caterpillars
centipede|centipedes
chimpanzee|chimpanzees
cicada|cicadas
clam|clams
cockroach|cockroaches
cow|cows
crab|crabs
deer|deers
dog|dogs
dolphin|dolphins
donkey|donkeys
dragon|dragons
dragonfly|dragonflies
echidna|echidnas
eel|eels
elephant|elephants
elk
emu|emus
ferret|ferrets
fish|fish
fly|flies
fox|foxes
frog|frogs
gazelle|gazelles
giraffe|giraffes
gnu|gnus
goanna|goannas
goat|goats
goose|geese
grasshopper|grasshoppers
griffon|griffons
guinea pig|pigs
hippogriff|hippogriffs
hippopotamus|hippopotamuses
horse|horses
human|humans
hyena|hyenas
jellyfish|jellyfishes
kangaroo|kangaroos
kitten|kittens
koala|koalas
lion|lions
lizard|lizards
llama|llamas
maggot|maggots
magpie|magpies
mammoth|mammoths
mockingbird|mockingbirds
monkey|monkeys
moose
mouse|mice
narwhal|narwhals
numbat|numbats
octopus|octopuses
ostrich|ostriches
owl|owls
ox|oxen
panda|pandas
peacock|peacocks
pegasus|pegasi
pelican|pelicans
penguin|penguins
pigeon|pigeons
platypus|platypuses
porcupine|porcupines
possum|possums
puppy|puppies
raccoon|raccoons
rat|rats
raven|ravens
rhinoceros|rhinoceroses
rooster|roosters
seagull|seagulls
seahorse|seahorses
shark|sharks
sheep|sheeps
skunk|skunks
sloth|sloths
slug|slugs
snail|snails
snake|snakes
sparrow|sparrows
spider|spiders
squid|squids
squirrel|squirrels
swan|swans
tiger|tigers
tarantula|tarantulas
toad|toads
tortoise|tortoises
turtle|turtles
unicorn|unicorns
virus|viruses
wasp|wasps
weasel|weasels
whale|whales
wombat|wombats
worm|worms
yak|yaks
zebra|zebras
