abdomen|abdomens
ankle|ankles
appendix|appendices
armpit|armpits
arm|arms
back|backs
beard|beards
bellybutton|bellybuttons
belly|bellies
biceps
bladder|bladders
blood
bone|bones
bosom|bosoms
bottom|bottoms
bowel|bowels
brainstem|brainstems
brain|brains
bum|bums
calf|calves
chest|chests
chin|chins
earlobe|earlobes
ear|ears
elbow|elbows
eyebrow|eyebrows
eye|eyes
eyelash|eyelashes
face|faces
fingernail|fingernails
finger|fingers
fist|fists
foot|feet
gland|glands
gonad|gonads
gut|guts
hair|hairs
hand|hands
head|heads
heart|hearts
heel|heels
intestine|intestines
kidney|kidneys
knee|knees
knuckle|knuckles
leg|legs
lip|lips
liver|livers
lung|lungs
mouth|mouths
muscle|muscles
neck|necks
nipple|nipples
nose|noses
nostril|nostrils
oesaphagus|oesaphaguses
palm|palms
pancreas|pancreases
pelvis|pelvises
rib|ribs
scalp|scalps
shoulder|shoulders
sideburn|sideburns
skin|skins
skull|skulls
spinal cord|cords
spine|spines
spleen|spleens
stomach|stomachs
tendon|tendons
thigh|thighs
throat|throats
thumb|thumbs
thumbnail|thumbnails
toenail|toenails
toe|toes
tongue|tongues
tonsil|tonsils
tooth|teeth
uvula|uvulas
vein|veins
wrist|wrists
