# generic natural landforms and types of places
$animal graveyard|graveyards
archipelago|archipelagos
atoll|atolls
bay|bays
beach|beachs
billabong|billabongs
blowhole|blowholes
bluff|bluffs
bog|bogs
brook|brooks
butte|buttes
caldera|calderas
canyon|canyons
cave|caves
cavern|caverns
city|cities
clearing|clearings
cliff|cliffs
cornfield|cornfields
crater|craters
crevasse|crevasses
delta|deltas
desert|deserts
escarpment|escarpments
farmyard|farmyards
field|fields
forest|forests
forest clearing|clearings
glacier|glaciers
glen|glens
gorge|gorges
grassland|grasslands
grove|groves
gulch|gulches
harbour|harbours
highland|highlands
hill|hills
hillside|hillsides
iceberg|icebergs
island|islands
isthmus|isthmuses
jungle|jungles
lagoon|lagoons
lake|lakes
marsh|marshes
mesa|mesas
moor|moors
mountain|mountains
mountain range|ranges
ocean|oceans
paddock|paddocks
peak|peaks
peninsula|peninsulas
plain|plains
plateau|plateaus
pool|pools
prairie|prairies
rainforest|rainforests
ravine|ravines
reef|reefs
ridge|ridges
savanna|savannas
sea|seas
sinkhole|sinkholes
springs|springs
strait|straits
summit|summits
swamp|swamps
town|towns
valley|valleys
village|villages
vineyard|vineyards
volcano|volcanos
wasteland|wastelands
waterfall|waterfalls
waterhole|waterholes
wilderness|wildernesses
