anchor|anchors
antenna|antennas
apple|apples
apricot|apricots
ball|balls
banana|bananas
bathtub|bathtubs
bed|beds
beehive|beehives
bell|bells
bin|bins
blanket|blankets
blender|blenders
blob|blobs
book|books
bottle|bottles
box|boxes
branch|branches
brick|bricks
brush|brushes
bulb|bulbs
cage|cages
camera|cameras
candle|candles
carpet|carpets
chair|chairs
cigarette|cigarettes
clock|clocks
coin|coins
computer|computers
cupboard|cupboards
cup|cups
curtain|curtains
door|doors
dumbbell|dumbells
fan|fans
feather|feathers
fence|fences
fern|ferns
floor|floors
fork|forks
frame|frames
fridge|fridges
fruit|fruits
glass|glasses
grinder|grinders
hanky|hankies
hat|hats
heater|heaters
iron|irons
kettle|kettles
knife|knifes
lamp|lamps
leaf|leaves
letterbox|letterboxes
light switch|switches
light|lights
litterbox|litterboxes
lump|lumps
matchstick|matchsticks
monitor|monitors
mousepad|mousepads
mug|mugs
nozzle|nozzles
oven|ovens
page|pages
photograph|photographs
plate|plates
pool|pools
portal|portals
pot|pots
road|roads
rod|rods
sheet|sheets
shelf|shelves
shenanigan|shenanigans
sofa|sofas
spoon|spoons
spork|sporks
stick|sticks
stool|stools
table|tables
television|televisions
thing|things
toilet|toilets
toothbrush|toothbrush
towel|towels
toy|toys
trampoline|trampolines
typewriter|typewriters
umbrella|umbrellas
vase|vases
wall|walls
wheel|wheels
wig|wigs
windmill|windmills
window|windows
