$instrument|*instrument
$vehicle|*vehicle
$weapon|*weapon
$land|*land
$thing|*thing + $thing|*thing
$ruler|*ruler
altar|altars
armament|armaments
amulet|amulets
arch|arches
archive|archives
ark|arks
arrow|arrows
automaton|automatons
bag|bags
baton|batons
banner|banners
bauble|baubles
bell|bells
blade|blades
blob|blobs
boomerang|boomerangs
bone|bones
bonfire|bonfires
book|books
boot|boots
bow|bows
bowl|bowls
box|boxs
bracelet|bracelets
brooch|broochs
bullet|bullets
bush|bushs
cache|caches
cage|cages
candlestick|candlesticks
candelabra|candelabras
cannon|cannons
cape|capes
cauldron|cauldrons
cell|cells
censer|censers
chair|chairs
chalice|chalices
chamber|chambers
chest|chests
claw|claws
cloak|cloaks
clock|clocks
club|clubs
coil|coils
cone|cones
construct|constructs
cornet|cornets
cornucopia|cornucopias
crown|crowns
cube|cubes
dial|dials
diamond|diamonds
diary|diaries
disc|discs
disease|diseases
donut|donuts
eagle|eagles
effigy|effigies
egg|eggs
egg-sac|egg-sacs
emerald|emeralds
eye|eyes
eyepatch|eyepatches
fairy|fairys
falcon|falcons
fan|fans
flame|flames
flute|flutes
fragment|fragments
gallows
gear|gears
gem|gems
globe|globes
goblet|goblets
god|gods
goggle|goggles
grail|grails
grimoire|grimoires
guillotine|guillotines
hammer|hammers
hand|hands
hat|hats
heart|hearts
heirloom|heirlooms
helix|helices
helmet|helmets
horn|horns
hourglass|hourglasses
icon|icons
icosahedron|icosahedrons
idol|idols
invocation|invocations
item|items
jewel|jewels
key|keys
knife|knives
kitten|kittens
labyrinth|labyrinths
leaf|leafs
lion|lions
lock|locks
locket|lockets
loop|loops
lord|lords
lotus|lotuses
lute|lutes
mantle|mantles
map|maps
mask|masks
matrix|matrices
maze|mazes
medal|medals
meteorite|meteorites
mirror|mirrors
monument|monuments
muffin|muffins
necklace|necklaces
node|nodes
obelisk|obelisks
object|objects
oblong|oblongs
orb|orbs
page|pages
pants
path|paths
pathogen|pathogens
pendant|pendants
pendulum|pendulums
pillar|pillars
pipe|pipes
prince|princes
prism|prisms
pyramid|pyramids
queen|queens
relic|relics
riddle|riddles
ring|rings
robot|robots
rope|ropes
ruby|rubies
sack|sacks
sanctum|sanctums
scarecrow|scarecrows
sceptre|sceptres
scimitar|scimitars
scroll|scrolls
scythe|scythes
secret|secrets
seed|seeds
serpent|serpents
singularity|singularities
shard|shards
shell|shells
ship|ships
shield|shields
shrine|shrines
sickle|sickles
sigil|sigils
signet|signets
skeleton|skeletons
skull|skulls
soul|souls
spade|spades
spatula|spatulas
spear|spears
sphere|spheres
spheroid|spheroids
spiral|spirals
spore|spores
spyglass|spyglasss
square|squares
staff|staves
star|stars
statue|statues
stick|sticks
stone|stones
suit|suits
sundial|sundials
sword|swords
tablet|tablets
talisman|talismans
thing|things
thorn|thorns
throne|thrones
tiara|tiaras
token|tokens
tomb|tombs
tome|tomes
tornado|tornados
torus|tori
totem|totems
tower|towers
trapezoid|trapezoids
treasure|treasures
tree|trees
trigon|trigons
trove|troves
tube|tubes
umbrella|umbrellas
urn|urns
vessel|vessels
vial|vials
vine|vines
wall|walls
weapon|weapons
web|webs
wedge|wedges
wheel|wheels
window|windows
world|worlds
wreck|wrecks
zone|zones
